22866546,5,80,14,,254,,,14,,1,24,,,,2,,1,,,,,23
42440233,119,125,60,7,103,5,21,12,,16,27,9,4,1,1,3,10,,,,24,18
28446706,96,144,88,9,104,5,29,4,,,11,,3,3,3,1,6,,,,25,14
74653596,72,192,74,27,92,11,3,17,,10,41,,9,8,1,2,12,,4,,19,23
29231851,254,18,2,,,2,127,,,,,,3,3,,,2,,,,63
40897649,22,120,66,,140,2,,12,,1,10,,,,,,,,,,17,11
43387535,17,61,87,1,118,,,7,,2,23,,,,1,,3,,,,22,18
41330561,33,84,80,4,22,,,5,,,2,,,1,,2,1,,1,,10,3
31317869,7,188,80,,11,,,2,,,,2,,,,,,,,,,4
31501328,18,136,45,10,102,2,1,3,,1,6,,,2,,3,2,,,,12,16
68629392,85,164,133,8,71,5,10,17,,10,49,1,2,11,,10,5,,3,,16,13
1980,110,96,22,4,8,10,1,1,,,,1,14,,1,,69,,,,105,75
50382470,4,40,21,,201,,,17,,2,7,,,,,,1,,,,,16
46730819,254,21,3,,,1,76,,,,,,,5,,1,3,,,,95,1
37658509,254,20,1,,,1,107,,,,1,,1,2,,1,1,,,,51,2
32796946,101,141,47,8,106,4,12,15,,8,29,,1,,5,6,23,,5,,38,17
25008403,,2,,,,,,158,,,,,,,,,,,,,1,2
44655165,15,48,4,,1,,,,,,,,1,1,,,,,,,6,2
27429141,18,42,13,4,11,2,,1,,,,,3,2,1,,16,,,,7,14
26163284,32,221,66,11,104,4,,18,,11,18,4,5,3,1,,1,,,,19,14
14879978,3,57,7,1,9,,,,,,,,,,,,,,,,2,1
27671913,,5,1,1,13,1,,254,,5,2,1,,,,,,,,,1,28
46500138,4,75,31,1,169,2,,1,,5,13,,,,,,1,,,,2,15
1049582,,5,254,1,,16,,,,,,,,7,,,,,,,,2
48978833,,4,39,,8,,,3,,,,,,1,,,,,,,,34
33439877,115,107,31,3,12,3,8,3,,,1,1,4,9,2,4,1,,2,,22,12
55526638,,2,,1,83,,,,,1,,,,,,,1,,,,2,8
33918856,43,204,85,1,108,4,3,18,,3,25,4,2,5,2,1,7,,4,,26,20
10284970,59,162,52,5,103,2,9,15,,8,20,2,,9,,2,15,,,,22,15
35775238,9,36,149,,3,3,1,,,,,,2,2,,2,,,,,3
23749394,21,49,17,4,5,1,1,3,,,,,3,1,,2,7,,,,19,6
20060920,,5,1,,12,1,,254,,5,2,1,,,,,,,,,1,28
42521128,1,14,76,,1,,,,,,,,,,2,,,,,,1
33496713,254,42,1,1,,1,55,,,,,,1,,,,2,,,,67
133701,,10,2,1,100,,,14,,20,9,,,,,,,,,,,16
36648726,175,87,11,3,,1,12,,,,1,,7,9,1,1,30,,,,61,14
64977560,1,12,35,3,26,,,,,,3,,,1,,,,,,,,2
30663134,,5,109
64701405,94,179,60,6,107,9,6,22,,9,20,4,,4,1,1,9,,,,49,15
40723354,1,10,254,1,1
22744062,,4,,,23,,,,,,254,,,1,,,,,,,,6
24097607,,36,14,6,254,2,3,15,,2,49,,,,,,,,,,,35
29691388,,16,254,11,,95,,,,,,,1,2,,1,,,,,1,1
24105430,,2,100,,22,2,,14,,2,,,,2,1,,,,,,,18
40064902,9,36,63,2,99,,1,13,,3,25,,,,3,,,,,,4,15
40417895,94,134,37,29,65,19,3,20,,1,47,3,8,28,,110,9,,,,18,21
29156611,1,3,254,1,,,,,,,,1,,,,,1,,,,,1
35193970,5,60,55,29,12,3,,5,,,,,8,31,,2,28,,,,7,48
46377839,254,71,8,2,3,3,19,2,,,,,2,16,,1,29,,,,78,6
